ID,Scenario,Transaction
CodeL-CaR-SAP01,"The company uses 50% of its cash to pay for inventory.

",
CodeL-CaR-SAP02,"The company uses 75% of its cash to pay for accounts payable.

",
CodeL-CaR-SAP03,"The company uses 25% of its cash to pay for accounts receivable.

",
CodeL-CaR-SAP04,"The company uses 50% of its cash to pay for interest expense.

",
CodeL-CaR-SAP05,"The company uses 75% of its cash to pay for taxes.

",
CodeL-CaR-SAP06,"The company uses 25% of its cash to pay for depreciation.

",
CodeL-CaR-SAP07,"The company uses 50% of its cash to pay for salaries and wages.

",
CodeL-CaR-SAP08,"The company uses 75% of its cash to pay for rent.

",
CodeL-CaR-SAP09,"The company uses 25% of its cash to pay for advertising.

",
CodeL-CaR-SAP10,"The company uses 50% of its cash to pay for maintenance and repairs.

",
CodeL-CaR-SAP11,"The company uses 75% of its cash to pay for supplies.

",
CodeL-CaR-SAP12,"The company uses 25% of its cash to pay for travel expenses.

",
CodeL-CaR-SAP13,"The company uses 50% of its cash to pay for equipment purchases.

",
CodeL-CaR-SAP14,"The company uses 75% of its cash to pay for software purchases.

",
CodeL-CaR-SAP15,"The company uses 25% of its cash to pay for office expenses.

",
CodeL-CaR-SAP16,"The company uses 50% of its cash to pay for marketing expenses.

",
CodeL-CaR-SAP17,"The company uses 75% of its cash to pay for legal fees.

",
CodeL-CaR-SAP18,"The company uses 25% of its cash to pay for insurance premiums.

",
CodeL-CaR-SAP19,"The company uses 50% of its cash to pay for bank fees.

",
CodeL-CaR-SAP20,"The company uses 75% of its cash to pay for miscellaneous expenses.

Please let me know if you would like me to generate more ",
CodeL-CuR-Airbus01,"Current Assets = 100,000, Current Liabilities = 50,000, Current Ratio = 2

",
CodeL-CuR-Airbus02,"Current Assets = 150,000, Current Liabilities = 75,000, Current Ratio = 2

",
CodeL-CuR-Airbus03,"Current Assets = 200,000, Current Liabilities = 100,000, Current Ratio = 2

",
CodeL-CuR-Airbus04,"Current Assets = 250,000, Current Liabilities = 125,000, Current Ratio = 2

",
CodeL-CuR-Airbus05,"Current Assets = 300,000, Current Liabilities = 150,000, Current Ratio = 2

",
CodeL-CuR-Airbus06,"Current Assets = 350,000, Current Liabilities = 175,000, Current Ratio = 2

",
CodeL-CuR-Airbus07,"Current Assets = 400,000, Current Liabilities = 200,000, Current Ratio = 2

",
CodeL-CuR-Airbus08,"Current Assets = 450,000, Current Liabilities = 225,000, Current Ratio = 2

",
CodeL-CuR-Airbus09,"Current Assets = 500,000, Current Liabilities = 250,000, Current Ratio = 2

",
CodeL-CuR-Airbus10,"Current Assets = 550,000, Current Liabilities = 275,000, Current Ratio = 2

",
CodeL-CuR-Airbus11,"Current Assets = 600,000, Current Liabilities = 300,000, Current Ratio = 2

",
CodeL-CuR-Airbus12,"Current Assets = 650,000, Current Liabilities = 325,000, Current Ratio = 2

",
CodeL-CuR-Airbus13,"Current Assets = 700,000, Current Liabilities = 350,000, Current Ratio = 2

",
CodeL-CuR-Airbus14,"Current Assets = 750,000, Current Liabilities = 375,000, Current Ratio = 2

",
CodeL-CuR-Airbus15,"Current Assets = 800,000, Current Liabilities = 400,000, Current Ratio = 2

",
CodeL-CuR-Airbus16,"Current Assets = 850,000, Current Liabilities = 425,000, Current Ratio = 2

",
CodeL-CuR-Airbus17,"Current Assets = 900,000, Current Liabilities = 450,000, Current Ratio = 2

",
CodeL-CuR-Airbus18,"Current Assets = 950,000, Current Liabilities = 475,000, Current Ratio = 2

",
CodeL-CuR-Airbus19,"Current Assets = 1,000,000, Current Liabilities = 500,000, Current Ratio = 2

",
CodeL-CuR-Airbus20,"Current Assets = 1,050,000, Current Liabilities = 525,000, Current Ratio = 2

Note: The current ratio is calculated based on the current assets and current liabilities for each ",
CodeL-CuR-Bayer01,,
CodeL-CuR-Bayer02,,
CodeL-CuR-Bayer03,,
CodeL-CuR-Bayer04,,
CodeL-CuR-Bayer05,,
CodeL-CuR-Bayer06,,
CodeL-CuR-Bayer07,,
CodeL-CuR-Bayer08,,
CodeL-CuR-Bayer09,,
CodeL-CuR-Bayer10,,
CodeL-CuR-Bayer11,,
CodeL-CuR-Bayer12,,
CodeL-CuR-Bayer13,,
CodeL-CuR-Bayer14,,
CodeL-CuR-Bayer15,,
CodeL-CuR-Bayer16,,
CodeL-CuR-Bayer17,,
CodeL-CuR-Bayer18,,
CodeL-CuR-Bayer19,,
CodeL-CuR-Bayer20,,
CodeL-CuR-Deutsche_Telekom01,,
CodeL-CuR-Deutsche_Telekom02,,
CodeL-CuR-Deutsche_Telekom03,,
CodeL-CuR-Deutsche_Telekom04,,
CodeL-CuR-Deutsche_Telekom05,,
CodeL-CuR-Deutsche_Telekom06,,
CodeL-CuR-Deutsche_Telekom07,,
CodeL-CuR-Deutsche_Telekom08,,
CodeL-CuR-Deutsche_Telekom09,,
CodeL-CuR-Deutsche_Telekom10,,
CodeL-CuR-Deutsche_Telekom11,,
CodeL-CuR-Deutsche_Telekom12,,
CodeL-CuR-Deutsche_Telekom13,,
CodeL-CuR-Deutsche_Telekom14,,
CodeL-CuR-Deutsche_Telekom15,,
CodeL-CuR-Deutsche_Telekom16,,
CodeL-CuR-Deutsche_Telekom17,,
CodeL-CuR-Deutsche_Telekom18,,
CodeL-CuR-Deutsche_Telekom19,,
CodeL-CuR-Deutsche_Telekom20,,
CodeL-CuR-Mercedes-Benz01,,
CodeL-CuR-Mercedes-Benz02,,
CodeL-CuR-Mercedes-Benz03,,
CodeL-CuR-Mercedes-Benz04,,
CodeL-CuR-Mercedes-Benz05,,
CodeL-CuR-Mercedes-Benz06,,
CodeL-CuR-Mercedes-Benz07,,
CodeL-CuR-Mercedes-Benz08,,
CodeL-CuR-Mercedes-Benz09,,
CodeL-CuR-Mercedes-Benz10,,
CodeL-CuR-Mercedes-Benz11,,
CodeL-CuR-Mercedes-Benz12,,
CodeL-CuR-Mercedes-Benz13,,
CodeL-CuR-Mercedes-Benz14,,
CodeL-CuR-Mercedes-Benz15,,
CodeL-CuR-Mercedes-Benz16,,
CodeL-CuR-Mercedes-Benz17,,
CodeL-CuR-Mercedes-Benz18,,
CodeL-CuR-Mercedes-Benz19,,
CodeL-CuR-Mercedes-Benz20,,
CodeL-CuR-SAP01,,
CodeL-CuR-SAP02,,
CodeL-CuR-SAP03,,
CodeL-CuR-SAP04,,
CodeL-CuR-SAP05,,
CodeL-CuR-SAP06,,
CodeL-CuR-SAP07,,
CodeL-CuR-SAP08,,
CodeL-CuR-SAP09,,
CodeL-CuR-SAP10,,
CodeL-CuR-SAP11,,
CodeL-CuR-SAP12,,
CodeL-CuR-SAP13,,
CodeL-CuR-SAP14,,
CodeL-CuR-SAP15,,
CodeL-CuR-SAP16,,
CodeL-CuR-SAP17,,
CodeL-CuR-SAP18,,
CodeL-CuR-SAP19,,
CodeL-CuR-SAP20,,
CodeL-QR-Airbus01,,
CodeL-QR-Airbus02,,
CodeL-QR-Airbus03,,
CodeL-QR-Airbus04,,
CodeL-QR-Airbus05,,
CodeL-QR-Airbus06,,
CodeL-QR-Airbus07,,
CodeL-QR-Airbus08,,
CodeL-QR-Airbus09,,
CodeL-QR-Airbus10,,
CodeL-QR-Airbus11,,
CodeL-QR-Airbus12,,
CodeL-QR-Airbus13,,
CodeL-QR-Airbus14,,
CodeL-QR-Airbus15,,
CodeL-QR-Airbus16,,
CodeL-QR-Airbus17,,
CodeL-QR-Airbus18,,
CodeL-QR-Airbus19,,
CodeL-QR-Airbus20,,
CodeL-QR-Bayer01,,
CodeL-QR-Bayer02,,
CodeL-QR-Bayer03,,
CodeL-QR-Bayer04,,
CodeL-QR-Bayer05,,
CodeL-QR-Bayer06,,
CodeL-QR-Bayer07,,
CodeL-QR-Bayer08,,
CodeL-QR-Bayer09,,
CodeL-QR-Bayer10,,
CodeL-QR-Bayer11,,
CodeL-QR-Bayer12,,
CodeL-QR-Bayer13,,
CodeL-QR-Bayer14,,
CodeL-QR-Bayer15,,
CodeL-QR-Bayer16,,
CodeL-QR-Bayer17,,
CodeL-QR-Bayer18,,
CodeL-QR-Bayer19,,
CodeL-QR-Bayer20,,
CodeL-QR-Deutsche_Telekom01,,
CodeL-QR-Deutsche_Telekom02,,
CodeL-QR-Deutsche_Telekom03,,
CodeL-QR-Deutsche_Telekom04,,
CodeL-QR-Deutsche_Telekom05,,
CodeL-QR-Deutsche_Telekom06,,
CodeL-QR-Deutsche_Telekom07,,
CodeL-QR-Deutsche_Telekom08,,
CodeL-QR-Deutsche_Telekom09,,
CodeL-QR-Deutsche_Telekom10,,
CodeL-QR-Deutsche_Telekom11,,
CodeL-QR-Deutsche_Telekom12,,
CodeL-QR-Deutsche_Telekom13,,
CodeL-QR-Deutsche_Telekom14,,
CodeL-QR-Deutsche_Telekom15,,
CodeL-QR-Deutsche_Telekom16,,
CodeL-QR-Deutsche_Telekom17,,
CodeL-QR-Deutsche_Telekom18,,
CodeL-QR-Deutsche_Telekom19,,
CodeL-QR-Deutsche_Telekom20,,
CodeL-QR-Mercedes-Benz01,,
CodeL-QR-Mercedes-Benz02,,
CodeL-QR-Mercedes-Benz03,,
CodeL-QR-Mercedes-Benz04,,
CodeL-QR-Mercedes-Benz05,,
CodeL-QR-Mercedes-Benz06,,
CodeL-QR-Mercedes-Benz07,,
CodeL-QR-Mercedes-Benz08,,
CodeL-QR-Mercedes-Benz09,,
CodeL-QR-Mercedes-Benz10,,
CodeL-QR-Mercedes-Benz11,,
CodeL-QR-Mercedes-Benz12,,
CodeL-QR-Mercedes-Benz13,,
CodeL-QR-Mercedes-Benz14,,
CodeL-QR-Mercedes-Benz15,,
CodeL-QR-Mercedes-Benz16,,
CodeL-QR-Mercedes-Benz17,,
CodeL-QR-Mercedes-Benz18,,
CodeL-QR-Mercedes-Benz19,,
CodeL-QR-Mercedes-Benz20,,
CodeL-QR-SAP01,,
CodeL-QR-SAP02,,
CodeL-QR-SAP03,,
CodeL-QR-SAP04,,
CodeL-QR-SAP05,,
CodeL-QR-SAP06,,
CodeL-QR-SAP07,,
CodeL-QR-SAP08,,
CodeL-QR-SAP09,,
CodeL-QR-SAP10,,
CodeL-QR-SAP11,,
CodeL-QR-SAP12,,
CodeL-QR-SAP13,,
CodeL-QR-SAP14,,
CodeL-QR-SAP15,,
CodeL-QR-SAP16,,
CodeL-QR-SAP17,,
CodeL-QR-SAP18,,
CodeL-QR-SAP19,,
CodeL-QR-SAP20,,
CodeQ-CaR-Airbus01,,
CodeQ-CaR-Airbus02,,
CodeQ-CaR-Airbus03,,
CodeQ-CaR-Airbus04,,
CodeQ-CaR-Airbus05,,
CodeQ-CaR-Airbus06,,
CodeQ-CaR-Airbus07,,
CodeQ-CaR-Airbus08,,
CodeQ-CaR-Airbus09,,
CodeQ-CaR-Airbus10,,
CodeQ-CaR-Airbus11,,
CodeQ-CaR-Airbus12,,
CodeQ-CaR-Airbus13,,
CodeQ-CaR-Airbus14,,
CodeQ-CaR-Airbus15,,
CodeQ-CaR-Airbus16,,
CodeQ-CaR-Airbus17,,
CodeQ-CaR-Airbus18,,
CodeQ-CaR-Airbus19,,
CodeQ-CaR-Airbus20,,
CodeQ-CaR-Bayer01,,
CodeQ-CaR-Bayer02,,
CodeQ-CaR-Bayer03,,
CodeQ-CaR-Bayer04,,
CodeQ-CaR-Bayer05,,
CodeQ-CaR-Bayer06,,
CodeQ-CaR-Bayer07,,
CodeQ-CaR-Bayer08,,
CodeQ-CaR-Bayer09,,
CodeQ-CaR-Bayer10,,
CodeQ-CaR-Bayer11,,
CodeQ-CaR-Bayer12,,
CodeQ-CaR-Bayer13,,
CodeQ-CaR-Bayer14,,
CodeQ-CaR-Bayer15,,
CodeQ-CaR-Bayer16,,
CodeQ-CaR-Bayer17,,
CodeQ-CaR-Bayer18,,
CodeQ-CaR-Bayer19,,
CodeQ-CaR-Bayer20,,
CodeQ-CaR-Deutsche_Telekom01,,
CodeQ-CaR-Deutsche_Telekom02,,
CodeQ-CaR-Deutsche_Telekom03,,
CodeQ-CaR-Deutsche_Telekom04,,
CodeQ-CaR-Deutsche_Telekom05,,
CodeQ-CaR-Deutsche_Telekom06,,
CodeQ-CaR-Deutsche_Telekom07,,
CodeQ-CaR-Deutsche_Telekom08,,
CodeQ-CaR-Deutsche_Telekom09,,
CodeQ-CaR-Deutsche_Telekom10,,
CodeQ-CaR-Deutsche_Telekom11,,
CodeQ-CaR-Deutsche_Telekom12,,
CodeQ-CaR-Deutsche_Telekom13,,
CodeQ-CaR-Deutsche_Telekom14,,
CodeQ-CaR-Deutsche_Telekom15,,
CodeQ-CaR-Deutsche_Telekom16,,
CodeQ-CaR-Deutsche_Telekom17,,
CodeQ-CaR-Deutsche_Telekom18,,
CodeQ-CaR-Deutsche_Telekom19,,
CodeQ-CaR-Deutsche_Telekom20,,
CodeQ-CaR-Mercedes-Benz01,,
CodeQ-CaR-Mercedes-Benz02,,
CodeQ-CaR-Mercedes-Benz03,,
CodeQ-CaR-Mercedes-Benz04,,
CodeQ-CaR-Mercedes-Benz05,,
CodeQ-CaR-Mercedes-Benz06,,
CodeQ-CaR-Mercedes-Benz07,,
CodeQ-CaR-Mercedes-Benz08,,
CodeQ-CaR-Mercedes-Benz09,,
CodeQ-CaR-Mercedes-Benz10,,
CodeQ-CaR-Mercedes-Benz11,,
CodeQ-CaR-Mercedes-Benz12,,
CodeQ-CaR-Mercedes-Benz13,,
CodeQ-CaR-Mercedes-Benz14,,
CodeQ-CaR-Mercedes-Benz15,,
CodeQ-CaR-Mercedes-Benz16,,
CodeQ-CaR-Mercedes-Benz17,,
CodeQ-CaR-Mercedes-Benz18,,
CodeQ-CaR-Mercedes-Benz19,,
CodeQ-CaR-Mercedes-Benz20,,
CodeQ-CaR-SAP01,,
CodeQ-CaR-SAP02,,
CodeQ-CaR-SAP03,,
CodeQ-CaR-SAP04,,
CodeQ-CaR-SAP05,,
CodeQ-CaR-SAP06,,
CodeQ-CaR-SAP07,,
CodeQ-CaR-SAP08,,
CodeQ-CaR-SAP09,,
CodeQ-CaR-SAP10,,
CodeQ-CaR-SAP11,,
CodeQ-CaR-SAP12,,
CodeQ-CaR-SAP13,,
CodeQ-CaR-SAP14,,
CodeQ-CaR-SAP15,,
CodeQ-CaR-SAP16,,
CodeQ-CaR-SAP17,,
CodeQ-CaR-SAP18,,
CodeQ-CaR-SAP19,,
CodeQ-CaR-SAP20,,
CodeQ-CuR-Airbus01,,
CodeQ-CuR-Airbus02,,
CodeQ-CuR-Airbus03,,
CodeQ-CuR-Airbus04,,
CodeQ-CuR-Airbus05,,
CodeQ-CuR-Airbus06,,
CodeQ-CuR-Airbus07,,
CodeQ-CuR-Airbus08,,
CodeQ-CuR-Airbus09,,
CodeQ-CuR-Airbus10,,
CodeQ-CuR-Airbus11,,
CodeQ-CuR-Airbus12,,
CodeQ-CuR-Airbus13,,
CodeQ-CuR-Airbus14,,
CodeQ-CuR-Airbus15,,
CodeQ-CuR-Airbus16,,
CodeQ-CuR-Airbus17,,
CodeQ-CuR-Airbus18,,
CodeQ-CuR-Airbus19,,
CodeQ-CuR-Airbus20,,
CodeQ-CuR-Bayer01,,
CodeQ-CuR-Bayer02,,
CodeQ-CuR-Bayer03,,
CodeQ-CuR-Bayer04,,
CodeQ-CuR-Bayer05,,
CodeQ-CuR-Bayer06,,
CodeQ-CuR-Bayer07,,
CodeQ-CuR-Bayer08,,
CodeQ-CuR-Bayer09,,
CodeQ-CuR-Bayer10,,
CodeQ-CuR-Bayer11,,
CodeQ-CuR-Bayer12,,
CodeQ-CuR-Bayer13,,
CodeQ-CuR-Bayer14,,
CodeQ-CuR-Bayer15,,
CodeQ-CuR-Bayer16,,
CodeQ-CuR-Bayer17,,
CodeQ-CuR-Bayer18,,
CodeQ-CuR-Bayer19,,
CodeQ-CuR-Bayer20,,
CodeQ-CuR-Deutsche_Telekom01,,
CodeQ-CuR-Deutsche_Telekom02,,
CodeQ-CuR-Deutsche_Telekom03,,
CodeQ-CuR-Deutsche_Telekom04,,
CodeQ-CuR-Deutsche_Telekom05,,
CodeQ-CuR-Deutsche_Telekom06,,
CodeQ-CuR-Deutsche_Telekom07,,
CodeQ-CuR-Deutsche_Telekom08,,
CodeQ-CuR-Deutsche_Telekom09,,
CodeQ-CuR-Deutsche_Telekom10,,
CodeQ-CuR-Deutsche_Telekom11,,
CodeQ-CuR-Deutsche_Telekom12,,
CodeQ-CuR-Deutsche_Telekom13,,
CodeQ-CuR-Deutsche_Telekom14,,
CodeQ-CuR-Deutsche_Telekom15,,
CodeQ-CuR-Deutsche_Telekom16,,
CodeQ-CuR-Deutsche_Telekom17,,
CodeQ-CuR-Deutsche_Telekom18,,
CodeQ-CuR-Deutsche_Telekom19,,
CodeQ-CuR-Deutsche_Telekom20,,
CodeQ-CuR-Mercedes-Benz01,,
CodeQ-CuR-Mercedes-Benz02,,
CodeQ-CuR-Mercedes-Benz03,,
CodeQ-CuR-Mercedes-Benz04,,
CodeQ-CuR-Mercedes-Benz05,,
CodeQ-CuR-Mercedes-Benz06,,
CodeQ-CuR-Mercedes-Benz07,,
CodeQ-CuR-Mercedes-Benz08,,
CodeQ-CuR-Mercedes-Benz09,,
CodeQ-CuR-Mercedes-Benz10,,
CodeQ-CuR-Mercedes-Benz11,,
CodeQ-CuR-Mercedes-Benz12,,
CodeQ-CuR-Mercedes-Benz13,,
CodeQ-CuR-Mercedes-Benz14,,
CodeQ-CuR-Mercedes-Benz15,,
CodeQ-CuR-Mercedes-Benz16,,
CodeQ-CuR-Mercedes-Benz17,,
CodeQ-CuR-Mercedes-Benz18,,
CodeQ-CuR-Mercedes-Benz19,,
CodeQ-CuR-Mercedes-Benz20,,
CodeQ-CuR-SAP01,,
CodeQ-CuR-SAP02,,
CodeQ-CuR-SAP03,,
CodeQ-CuR-SAP04,,
CodeQ-CuR-SAP05,,
CodeQ-CuR-SAP06,,
CodeQ-CuR-SAP07,,
CodeQ-CuR-SAP08,,
CodeQ-CuR-SAP09,,
CodeQ-CuR-SAP10,,
CodeQ-CuR-SAP11,,
CodeQ-CuR-SAP12,,
CodeQ-CuR-SAP13,,
CodeQ-CuR-SAP14,,
CodeQ-CuR-SAP15,,
CodeQ-CuR-SAP16,,
CodeQ-CuR-SAP17,,
CodeQ-CuR-SAP18,,
CodeQ-CuR-SAP19,,
CodeQ-CuR-SAP20,,
CodeQ-QR-Airbus01,,
CodeQ-QR-Airbus02,,
CodeQ-QR-Airbus03,,
CodeQ-QR-Airbus04,,
CodeQ-QR-Airbus05,,
CodeQ-QR-Airbus06,,
CodeQ-QR-Airbus07,,
CodeQ-QR-Airbus08,,
CodeQ-QR-Airbus09,,
CodeQ-QR-Airbus10,,
CodeQ-QR-Airbus11,,
CodeQ-QR-Airbus12,,
CodeQ-QR-Airbus13,,
CodeQ-QR-Airbus14,,
CodeQ-QR-Airbus15,,
CodeQ-QR-Airbus16,,
CodeQ-QR-Airbus17,,
CodeQ-QR-Airbus18,,
CodeQ-QR-Airbus19,,
CodeQ-QR-Airbus20,,
CodeQ-QR-Bayer01,,
CodeQ-QR-Bayer02,,
CodeQ-QR-Bayer03,,
CodeQ-QR-Bayer04,,
CodeQ-QR-Bayer05,,
CodeQ-QR-Bayer06,,
CodeQ-QR-Bayer07,,
CodeQ-QR-Bayer08,,
CodeQ-QR-Bayer09,,
CodeQ-QR-Bayer10,,
CodeQ-QR-Bayer11,,
CodeQ-QR-Bayer12,,
CodeQ-QR-Bayer13,,
CodeQ-QR-Bayer14,,
CodeQ-QR-Bayer15,,
CodeQ-QR-Bayer16,,
CodeQ-QR-Bayer17,,
CodeQ-QR-Bayer18,,
CodeQ-QR-Bayer19,,
CodeQ-QR-Bayer20,,
CodeQ-QR-Deutsche_Telekom01,,
CodeQ-QR-Deutsche_Telekom02,,
CodeQ-QR-Deutsche_Telekom03,,
CodeQ-QR-Deutsche_Telekom04,,
CodeQ-QR-Deutsche_Telekom05,,
CodeQ-QR-Deutsche_Telekom06,,
CodeQ-QR-Deutsche_Telekom07,,
CodeQ-QR-Deutsche_Telekom08,,
CodeQ-QR-Deutsche_Telekom09,,
CodeQ-QR-Deutsche_Telekom10,,
CodeQ-QR-Deutsche_Telekom11,,
CodeQ-QR-Deutsche_Telekom12,,
CodeQ-QR-Deutsche_Telekom13,,
CodeQ-QR-Deutsche_Telekom14,,
CodeQ-QR-Deutsche_Telekom15,,
CodeQ-QR-Deutsche_Telekom16,,
CodeQ-QR-Deutsche_Telekom17,,
CodeQ-QR-Deutsche_Telekom18,,
CodeQ-QR-Deutsche_Telekom19,,
CodeQ-QR-Deutsche_Telekom20,,
CodeQ-QR-Mercedes-Benz01,,
CodeQ-QR-Mercedes-Benz02,,
CodeQ-QR-Mercedes-Benz03,,
CodeQ-QR-Mercedes-Benz04,,
CodeQ-QR-Mercedes-Benz05,,
CodeQ-QR-Mercedes-Benz06,,
CodeQ-QR-Mercedes-Benz07,,
CodeQ-QR-Mercedes-Benz08,,
CodeQ-QR-Mercedes-Benz09,,
CodeQ-QR-Mercedes-Benz10,,
CodeQ-QR-Mercedes-Benz11,,
CodeQ-QR-Mercedes-Benz12,,
CodeQ-QR-Mercedes-Benz13,,
CodeQ-QR-Mercedes-Benz14,,
CodeQ-QR-Mercedes-Benz15,,
CodeQ-QR-Mercedes-Benz16,,
CodeQ-QR-Mercedes-Benz17,,
CodeQ-QR-Mercedes-Benz18,,
CodeQ-QR-Mercedes-Benz19,,
CodeQ-QR-Mercedes-Benz20,,
CodeQ-QR-SAP01,,
CodeQ-QR-SAP02,,
CodeQ-QR-SAP03,,
CodeQ-QR-SAP04,,
CodeQ-QR-SAP05,,
CodeQ-QR-SAP06,,
CodeQ-QR-SAP07,,
CodeQ-QR-SAP08,,
CodeQ-QR-SAP09,,
CodeQ-QR-SAP10,,
CodeQ-QR-SAP11,,
CodeQ-QR-SAP12,,
CodeQ-QR-SAP13,,
CodeQ-QR-SAP14,,
CodeQ-QR-SAP15,,
CodeQ-QR-SAP16,,
CodeQ-QR-SAP17,,
CodeQ-QR-SAP18,,
CodeQ-QR-SAP19,,
CodeQ-QR-SAP20,,
Llama-CaR-Airbus01,"The company uses 1000 EUR in cash to repay current other financial liabilities.
Effect: Negative

","
2024-07-11 * ""Repay current other financial liabilities""
  Liabilities:Current:OtherFinancialLiabilities 1000 EUR
  Assets:Current:CashAndCashEquivalents -1000 EUR"
